-36,-11,47
-42,-11,47
-43,-9,53
-42,-8,59
-43,-8,56
-34,-8,61
-29,-7,61
-20,-7,58
-25,-7,54
-51,-8,35
-51,-9,28
-39,-10,49
-30,-10,57
-32,-9,54
-39,-8,54
-39,-8,52
-32,-8,54
-34,-9,51
-40,-9,47
-37,-8,50
-35,-9,47
-39,-8,51
-30,-8,55
-36,-7,52
-39,-7,53
-34,-8,52
-34,-9,53
-35,-8,50
-38,-8,46
-37,-6,54
-35,-6,54
-35,-6,48
-38,-5,53
-35,-5,54
-36,-6,51
-40,-5,53
-37,-7,52
-34,-6,51
-36,-6,51
-37,-6,50
-38,-6,49
-36,-6,52
-36,-5,50
-38,-5,51
-36,-5,53
-35,-6,51
-35,-6,52
-36,-6,51
-36,-6,50
-37,-6,53
-36,-6,51
-36,-5,51
-36,-5,52
-35,-6,52
-35,-6,50
-36,-5,52
-36,-5,52
-36,-5,51
-36,-6,52
-36,-6,51
-36,-6,52
-36,-6,52
-35,-6,51
-36,-6,51
-36,-5,51
-36,-6,51
-36,-6,51
-36,-5,52
-36,-5,52
-36,-5,52
-36,-5,52
-36,-5,51
-36,-5,52
-38,-4,53
-41,-3,55
-42,-4,60
-39,-9,55
-37,-12,49
-32,-16,41
-31,-17,44
-30,-12,53
-33,-11,53
-30,-10,52
-30,-11,48
-33,-7,51
-36,-6,51
-31,-5,53
-25,-6,59
-24,-6,57
-24,-6,57
-25,-6,57
-25,-7,60
-24,-7,58
-28,-5,57
-29,-4,57
-28,-6,58
-26,-6,55
-28,-5,56
-23,-5,56
-22,-5,55
-23,-6,55
-18,-8,58
-43,-3,51
-50,-3,51
-46,-4,51
-41,-5,50
-32,-4,53
-34,-2,52
-32,-2,53
-32,-2,55
-37,-2,51
-38,-2,55
-36,-2,54
-39,-2,52
-39,-2,51
-33,-3,53
-33,-4,52
-30,-4,54
-28,-3,56
-29,-3,56
-29,-3,56
-28,-4,56
-31,-5,54
-31,-6,53
-29,-5,55
-30,-4,54
-31,-3,56
-33,-2,56
-34,-1,58
-33,0,55
-33,-2,52
-32,-4,53
-32,-5,52
-30,-6,51
-30,-5,50
-33,-4,50
-35,-5,48
-40,-7,47
-41,-9,49
-39,-9,47
-41,-10,50
-40,-11,50
-41,-12,47
-39,-11,49
-53,-14,43
-52,-15,43
-50,-18,38
-46,-25,40
-56,-11,41
-46,0,38
-40,6,35
-44,14,30
-42,15,29
-56,8,12
-62,4,12
-56,-3,23
-57,-3,25
-77,-2,22
-75,-1,21
-65,-1,22
-62,-3,18
-63,-1,13
-65,-2,9
-63,-3,9
-59,-4,5
-59,-4,4
-62,-7,-2
-62,-8,-2
-63,-4,-5
-70,-1,-5
-69,0,-2
-65,-5,-2
-64,-5,-3
-63,-5,-6
-63,-3,-6
-65,-5,-7
-67,-6,-9
-64,-5,-11
-60,-4,-7
-62,-5,-7
-66,-5,-12
-67,-5,-11
-67,-4,-9
-68,-4,-9
-63,-5,-9
-62,-4,-8
-63,-4,-7
-63,-3,-8
-63,-3,-9
-62,-3,-8
-63,-3,-8
-65,-2,-6
-64,-1,-5
-63,-2,-3
-63,-2,-3
-64,-1,-2
-65,-1,-3
-66,-2,-3
-65,-3,-3
-64,-4,-4
-64,-3,-3
-65,-4,-4
-65,-2,-5
-64,-2,-5
-62,-2,-5
-62,-1,-4
-65,-2,-4
-65,-3,-4
-64,-4,-4
-64,-4,-3
-63,-3,-2
-63,-3,-2
-63,-4,-3
-64,-5,-5
-64,-4,-6
-66,-2,-7
-67,-2,-6
-65,-3,-5
-63,-3,-5
-63,-3,-4
-63,-3,-5
-64,-3,-6
-65,-3,-5
-65,-3,-5
-64,-3,-5
-64,-3,-5
-64,-4,-5
-64,-3,-4
-64,-2,-4
-64,-2,-4
-64,-2,-4
-64,-2,-4
-64,-2,-4
-64,-2,-4
-64,-2,-4
-64,-1,-4
-64,-1,-4
-64,-2,-5
-62,-2,-4
-64,-2,-4
-64,-2,-4
-64,-2,-6
